Unit,Lesson,Activity,Language,VisitedOn,OutTime,OutAction,TimeSpentInSeconds,Buddies
physics-motion,lesson-2-riddles-of-motion,24-riddle-4-same-path-or-different-path,en,2018-05-30 13:17:36.680000,2018-05-30 13:17:48.858000,activity_player_detail,12.178,[u'brown-ostrich-sp100']
clix-platform-help-corner,2-help-faqs-for-course-authors-and-content-developers,check-performance,hi,2018-05-30 12:23:25.199000,NA,NA,NA,NA
clix-platform-help-corner,1-clixplatform-help-faqs-for-students-and-teachers,11-clixplatform-help-for-students,hi,2018-05-30 12:21:58.283000,2018-05-30 12:23:25.199000,activity_player_detail,86.916,NA
clix-platform-help-corner,1-clixplatform-help-faqs-for-students-and-teachers,11-clixplatform-help-for-students,te,2018-05-30 12:19:34.973000,2018-05-30 12:21:58.283000,activity_player_detail,143.31,NA
clix-platform-help-corner,1-clixplatform-help-faqs-for-students-and-teachers,11-clixplatform-help-for-students,en,2018-05-30 12:15:39.745000,2018-05-30 12:19:34.973000,activity_player_detail,235.228,NA
clix-platform-help-corner,2-help-faqs-for-course-authors-and-content-developers,how-to-edit-lms-course-unit,en,2018-05-30 12:15:35.375000,2018-05-30 12:15:39.745000,activity_player_detail,4.37,NA
clix-platform-help-corner,2-help-faqs-for-course-authors-and-content-developers,how-to-upload-an-image,en,2018-05-30 12:15:18.598000,2018-05-30 12:15:35.375000,activity_player_detail,16.777,NA
clix-platform-help-corner,2-help-faqs-for-course-authors-and-content-developers,embedding-platform-affordance-and-hyper-links,en,2018-05-30 12:15:03.053000,2018-05-30 12:15:18.598000,activity_player_detail,15.545,NA
pre-clix-survey,student-survey,1-gender,en,2018-05-30 12:09:29.938000,2018-05-30 12:10:18.029000,module_detail,48.091,NA
name-of-school-server-id,empathy,my-first-page,en,2018-05-30 12:02:54.913000,2018-05-30 12:03:09.299000,course_content,14.386,NA
